'em	@ m
bonfires	' b O n f - Ae - @ z
bongo	' b O N g - @}
bongos	' b O N g - @} z
bonhomie	' b O n - @ m - i:
bonier	' b @} n - i@ r\
boniest	' b @} n - I - I s t
boning	' b @} n - I N
bonito	' b @ n - ' i: t - @}
bonitos	' b @ n - ' i: t - @} z
bonkers	' b O N k - @ z
bonnet	' b O n - I t
bonnets	' b O n - I t s
bonnier	' b O n - i@ r\
bonniest	' b O n - I - I s t
bonnily	' b O n - I l - i:
bonny	' b O n - i:
bono	' b @} n - @}
bons mots	' b O n - ' m @} z
bonus	' b @} n - @ s
bonuses	' b @} n - @ s - I z
bony	' b @} n - i:
boo	' b }:
boob	' b }: b
boobed	' b }: b d
boobies	' b }: b - I z
boobing	' b }: b - I N
boobs	' b }: b z
booby	' b }: b - i:
booby-trap	' b }: b - I - t r\ { p
booby-traps	' b }: b - I - t r\ { p s
booed	' b }: d
boogie	' b }: g - i:
boogie-woogie	' b }: g - I - ' w }: g - i:
boogie-woogies	' b }: g - I - ' w }: g - I z
boogies	' b }: g - I z
booing	' b }: - I N
book	' b U k
book-end	' b U k - e n d
book-ends	' b U k - e n d z
book-keeper	' b U k - k i: p - @ r\
book-keepers	' b U k - k i: p - @ z
bookable	' b U k - @ b l
bookcase	' b U k - k {I s
bookcases	' b U k - k {I s - I z
bookclub	' b U k - k l 6 b
bookclubs	' b U k - k l 6 b z
booked	' b U k t
bookie	' b U k - i:
bookies	' b U k - I z
booking	' b U k - I N
bookings	' b U k - I N z
bookish	' b U k - I S
bookishness	' b U k - I S - n @ s
bookkeeper	' b U k - k i: p - @ r\
bookkeepers	' b U k - k i: p - @ z
bookkeeping	' b U k - k i: p - I N
booklet	' b U k - l I t
booklets	' b U k - l I t s
bookmaker	' b U k - m {I k - @ r\
bookmakers	' b U k - m {I k - @ z
bookmark	' b U k - m 6: k
bookmarker	' b U k - m 6: k - @ r\
bookmarkers	' b U k - m 6: k - @ z
bookmarks	' b U k - m 6: k s
bookmobile	' b U k - m @} b - i: l
bookmobiles	' b U k - m @} b - i: l z
books	' b U k s
bookseller	' b U k - s e l - @ r\
booksellers	' b U k - s e l - @ z
bookshop	' b U k - S O p
bookshops	' b U k - S O p s
bookstall	' b U k - s t o: l
bookstalls	' b U k - s t o: l z
bookstore	' b U k - s t o: r\
bookstores	' b U k - ' s t o: z
bookworm	' b U k - w @@ m
bookworms	' b U k - w @@ m z
boom	' b }: m
boomed	' b }: m d
boomerang	' b }: m - @ r\ - { N
boomerangs	' b }: m - @ r\ - { N z
booming	' b }: m - I N
booms	' b }: m z
boon	' b }: n
boons	' b }: n z
boor	' b u@ r\
boorish	' b u@ r\ - I S
boorishly	' b u@ r\ - I S - l i:
boorishness	' b u@ r\ - I S - n @ s
boors	' b u@ z
boos	' b }: z
boost	' b }: s t
boosted	' b }: s - t I d
booster	' b }: s - t @ r\
boosters	' b }: s - t @ z
boosting	' b }: s - t I N
boosts	' b }: s t s
boot	' b }: t
booted	' b }: t - I d
bootee	' b }: t - ' i:
bootees	' b }: t - ' i: z
booth	' b }: D
booths	' b }: D z
booting	' b }: t - I N
bootlace	' b }: t - l {I s
bootlaces	' b }: t - l {I s - I z
bootleg	' b }: t - l e g
bootlegged	' b }: t - l e g d
bootlegger	' b }: t - l e g - @ r\
bootleggers	' b }: t - l e g - @ z
bootlegging	' b }: t - l e g - I N
bootlegs	' b }: t - l e g z
bootless	' b }: t - l I s
boots	' b }: t s
booty	' b }: t - i:
booze	' b }: z
booze-up	' b }: z - 6 p
booze-ups	' b }: z - 6 p s
boozed	' b }: z d
boozer	' b }: z - @ r\
boozers	' b }: z - @ z
boozes	' b }: z - I z
boozier	' b }: z - i@ r\
booziest	' b }: z - I - I s t
boozing	' b }: z - I N
boozy	' b }: z - i:
bopeep	' b @} p - ' i: p
boracic	' b @ r\ - ' { s - I k
borage	' b O r\ - I dZ
borax	' b o: r\ - { k s
border	' b o: d - @ r\
bordered	' b o: d - @ d
borderer	' b o: d - @ r\ - @ r\
borderers	' b o: d - @ r\ - @ z
bordering	' b o: d - @ r\ - I N
borderland	' b o: d - @ l - { n d
borderlands	' b o: d - @ l - { n d z
borderline	' b o: d - @ l - Ae n
borderlines	' b o: d - @ l - Ae n z
borders	' b o: d - @ z
bore	' b o: r\
bore-hole	' b o: - h @} l
bore-holes	' b o: - h @} l z
bored	' b o: d
boredom	' b o: d - @ m
borer	' b o: r\ - @ r\
borers	' b o: r\ - @ z
bores	' b o: z
boric	' b o: r\ - I k
boring	' b o: r\ - I N
born	' b o: n
borne	' b o: n
boron	' b o: r\ - O n
borough	' b 6 r\ - @
boroughs	' b 6 r\ - @ z
borrow	' b O r\ - @}
borrowed	' b O r\ - @} d
borrower	' b O r\ - @} - @ r\
borrowers	' b O r\ - @} - @ z
borrowing	' b O r\ - @} - I N
borrows	' b O r\ - @} z
borsch	' b o: S
borstal	' b o: s t l
borstals	' b o: s t l z
bortsch	' b o: tS
borzoi	' b o: z - oI
borzois	' b o: z - oI z
bosh	' b O S
bosky	' b O s - k i:
bosom	' b U z - @ m
bosoms	' b U z - @ m z
boss	' b O s
boss-eyed	' b O s - Ae d
bossed	' b O s t
bosses	' b O s - I z
bossier	' b O s - i@ r\
bossiest	' b O s - I - I s t
bossing	' b O s - I N
bossy	' b O s - i:
botanical	' b @ t - ' { n - I k l
botanist	' b O t - @ n - I s t
botanists	' b O t - @ n - I s t s
botanize	' b O t - @ n - Ae z
botanized	' b O t - @ n - Ae z d
botanizes	' b O t - @ n - Ae z - I z
botanizing	' b O t - @ n - Ae z - I N
botany	' b O t - @ n - i:
botch	' b O tS
botched	' b O tS t
botcher	' b O tS - @ r\
botchers	' b O tS - @ z
botches	' b O tS - I z
botching	' b O tS - I N
both	b @} T
bother	' b O D - @ r\
botheration	' b O D - @ r\ - ' {I S - @ n
bothered	' b O D - @ d
bothering	' b O D - @ r\ - I N
bothers	' b O D - @ z
bothersome	' b O D - @ s - @ m
bottle	' b O t l
bottle-fed	' b O t l - f e d
bottle-green	' b O t l - ' g r\ i: n
bottled	' b O t l d
bottleneck	' b O t l n - e k
bottlenecks	' b O t l n - e k s
bottles	' b O t l z
bottling	' b O t - l I N
bottom	' b O t - @ m
bottomed	' b O t - @ m d
bottoming	' b O t - @ m - I N
bottomless	' b O t - @ m - l @ s
bottoms	' b O t - @ m z
botulism	' b O t - j U l - I z - @ m
boudoir	' b }: d - w 6: r\
boudoirs	' b }: d - w 6: z
bougainvillea	' b }: g - @ n v - ' I l - i@
bougainvilleas	' b }: g - @ n v - ' I l - i@ z
bough	' b au
boughs	' b au z
bought	' b o: t
bouillon	' b }: j - O n
boulder	' b @} l d - @ r\
boulders	' b @} l d - @ z
boulevard	' b }: l - @ v - 6: d
boulevards	' b }: l - @ v - 6: d z
bounce	' b au n s
bounced	' b au n s t
bounces	' b au n s - I z
bouncier	' b au n s - i@ r\
bounciest	' b au n s - i@ s t
bouncing	' b au n s - I N
bouncy	' b au n s - i:
bound	' b au n d
boundaries	' b au n d - r\ I z
boundary	' b au n d - r\ i:
bounded	' b au n d - I d
bounden	' b au n d - @ n
bounder	' b au n d - @ r\
bounders	' b au n d - @ z
bounding	' b au n d - I N
boundless	' b au n d - l I s
boundlessly	' b au n d - l I s - l i:
bounds	' b au n d z
bounteous	' b au n t - i@ s
bounteously	' b au n t - i@ s - l i:
bounties	' b au n t - I z
bountiful	' b au n t - I f - @ l
bountifully	' b au n t - I f - @ l - i:
bounty	' b au n t - i:
bouquet	' b U k - ' {I
bouquets	' b U k - ' {I z
bourbon	' b @@ b - @ n
bourbons	' b @@ b - @ n z
bourgeois	' b u@ Z - w 6:
bourgeoisie	' b u@ Z - w 6: z - ' i:
bourgeoisies	' b u@ Z - w 6: z - ' i: z
bourn	' b u@ n
bourne	' b u@ n
bournes	' b u@ n z
bourns	' b u@ n z
bourse	' b u@ s
bourses	' b u@ s - I z
bout	' b au t
boutique	' b }: t - ' i: k
boutiques	' b }: t - ' i: k s
bouts	' b au t s
bovine	' b @} v - Ae n
bovril	' b O v - r\ I l
bow	' b @}
bow-wow	' b au - ' w au
bow-wows	' b au - w au z
bowdlerize	' b au d - l @ r\ - Ae z
bowdlerized	' b au d - l @ r\ - Ae z d
bowdlerizes	' b au d - l @ r\ - Ae z - I z
bowdlerizing	' b au d - l @ r\ - Ae z - I N
bowed	' b @} d
bowel	' b au - @ l
bowels	' b au - @ l z
bower	' b au - @ r\
bowers	' b au - @ z
bowie knife	' b @} - I - n Ae f
bowie knives	' b @} - I - n Ae v z
bowing	' b @} - I N
bowl	' b @} l
bowled	' b @} l d
bowler	' b @} l - @ r\
bowlers	' b @} l - @ z
bowline	' b @} l - I n
bowlines	' b @} l - I n z
bowling	' b @} l - I N
bowling-green	' b @} l - I N - g r\ i: n
bowling-greens	' b @} l - I N - g r\ i: n z
bowls	' b @} l z
bowman	' b @} m - @ n
bowmen	' b @} m - e n
bows	' b @} z
bowsprit	' b @} s - p r\ I t
bowsprits	' b @} s - p r\ I t s
box	' b O k s
box-kite	' b O k s - k Ae t
box-kites	' b O k s - k Ae t s
box-number	' b O k s - n 6 m b - @ r\
box-numbers	' b O k s - n 6 m b - @ z
box-office	' b O k s - O f - I s
box-offices	' b O k s - O f - I s - I z
boxed	' b O k s t
boxer	' b O k - s @ r\
boxers	' b O k - s @ z
boxes	' b O k - s I z
boxful	' b O k - s f U l
boxfuls	' b O k - s f U l z
boxing	' b O k - s I N
boxing-glove	' b O k - s I N - g l 6 v
boxing-gloves	' b O k - s I N - g l 6 v z
boxing-match	' b O k - s I N - m { tS
boxing-matches	' b O k - s I N - m { tS - I z
boxwood	' b O k - s w U d
boy	' b oI
boycott	' b oI k - O t
boycotted	' b oI k - O t - I d
boycotting	' b oI k - O t - I N
boycotts	' b oI k - O t s
boyfriend	' b oI f - r\ e n d
boyfriends	' b oI f - r\ e n d z
boyhood	' b oI h - U d
boyish	' b oI - I S
boyishly	' b oI - I S - l i:
boys	' b oI z
bra	' b r\ 6:
brace	' b r\ {I s
braced	' b r\ {I s t
bracelet	' b r\ {I s - l I t
bracelets	' b r\ {I s - l I t s
braces	' b r\ {I s - I z
bracing	' b r\ {I s - I N
bracken	' b r\ { k - @ n
bracket	' b r\ { k - I t
bracketed	' b r\ { k - I t - I d
bracketing	' b r\ { k - I t - I N
brackets	' b r\ { k - I t s
brackish	' b r\ { k - I S
bract	' b r\ { k t
bracts	' b r\ { k t s
brad	' b r\ { d
bradawl	' b r\ { d - o: l
bradawls	' b r\ { d - o: l z
brads	' b r\ { d z
brae	' b r\ {I
braes	' b r\ {I z
brag	' b r\ { g
braggart	' b r\ { g - @ t
braggarts	' b r\ { g - @ t s
bragged	' b r\ { g d
bragging	' b r\ { g - I N
brags	' b r\ { g z
braid	' b r\ {I d
braided	' b r\ {I d - I d
braiding	' b r\ {I d - I N
braids	' b r\ {I d z
braille	' b r\ {I l
brain	' b r\ {I n
brain-fag	' b r\ {I n - f { g
brain-teaser	' b r\ {I n - t i: z - @ r\
brain-teasers	' b r\ {I n - t i: z - @ z
brainchild	' b r\ {I n tS - Ae l d
brained	' b r\ {I n d
brainier	' b r\ {I n - i@ r\
brainiest	' b r\ {I n - I - I s t
braining	' b r\ {I n - I N
brainless	' b r\ {I n - l @ s
brains	' b r\ {I n z
brainstorm	' b r\ {I n s - t o: m
brainstorms	' b r\ {I n s - t o: m z
brainwash	' b r\ {I n w - O S
brainwashed	' b r\ {I n w - O S t
brainwashes	' b r\ {I n w - O S - I z
brainwashing	' b r\ {I n w - O S - I N
brainwave	' b r\ {I n w - {I v
brainwaves	' b r\ {I n w - {I v z
brainy	' b r\ {I n - i:
braise	' b r\ {I z
braised	' b r\ {I z d
braises	' b r\ {I z - I z
braising	' b r\ {I z - I N
brake	' b r\ {I k
braked	' b r\ {I k t
brakeman	' b r\ {I k - m @ n
brakemen	' b r\ {I k - m @ n
brakes	' b r\ {I k s
braking	' b r\ {I k - I N
bramble	' b r\ { m b l
brambles	' b r\ { m b l z
bran	' b r\ { n
bran-new	' b r\ { n - ' n j }:
branch	' b r\ 6: n tS
branched	' b r\ 6: n tS t
branches	' b r\ 6: n tS - I z
branchier	' b r\ 6: n tS - i@ r\
branchiest	' b r\ 6: n tS - I - I s t
branching	' b r\ 6: n tS - I N
branchy	' b r\ 6: n tS - i:
brand	' b r\ { n d
brand-new	' b r\ { n - ' n j }:
branded	' b r\ { n d - I d
brandies	' b r\ { n d - I z
branding	' b r\ { n d - I N
branding-iron	' b r\ { n d - I N - Ae - @ n
branding-irons	' b r\ { n d - I N - Ae - @ n z
brandish	' b r\ { n d - I S
brandished	' b r\ { n d - I S t
brandishes	' b r\ { n d - I S - I z
brandishing	' b r\ { n d - I S - I N
brands	' b r\ { n d z
brandy	' b r\ { n d - i:
brandy-ball	' b r\ { n d - I - b o: l
brandy-balls	' b r\ { n d - I - b o: l z
brandy-snap	' b r\ { n d - I - s n { p
brandy-snaps	' b r\ { n d - I - s n { p s
bras	' b r\ 6: z
brash	' b r\ { S
brasher	' b r\ { S - @ r\
brashest	' b r\ { S - I s t
brass	' b r\ 6: s
brassard	' b r\ { s - 6: d
brassards	' b r\ { s - 6: d z
brasserie	' b r\ { s - @ r\ - i:
brasseries	' b r\ { s - @ r\ - I z
brasses	' b r\ 6: s - I z
brassi`ere	' b r\ { z - i@ r\
brassi`eres	' b r\ { z - i@ z
brassier	' b r\ 6: s - i@ r\
brassiere	' b r\ { z - i@ r\
brassieres	' b r\ { z - i@ z
brassiest	' b r\ 6: s - I - I s t
brassy	' b r\ 6: s - i:
brat	' b r\ { t
brats	' b r\ { t s
bravado	' b r\ @ v - ' 6: d - @}
bravados	' b r\ @ v - ' 6: d - @} z
brave	' b r\ {I v
braved	' b r\ {I v d
bravely	' b r\ {I v - l i:
braver	' b r\ {I v - @ r\
bravery	' b r\ {I v - @ r\ - i:
braves	' b r\ {I v z
bravest	' b r\ {I v - I s t
braving	' b r\ {I v - I N
bravo	' b r\ 6: v - ' @}
bravoes	' b r\ 6: v - ' @} z
bravos	' b r\ 6: v - ' @} z
brawl	' b r\ o: l
brawled	' b r\ o: l d
brawler	' b r\ o: l - @ r\
brawlers	' b r\ o: l - @ z
brawling	' b r\ o: l - I N
brawls	' b r\ o: l z
brawn	' b r\ o: n
brawnier	' b r\ o: n - i@ r\
brawniest	' b r\ o: n - I - I s t
brawny	' b r\ o: n - i:
bray	' b r\ {I
brayed	' b r\ {I d
braying	' b r\ {I - I N
brays	' b r\ {I z
braze	' b r\ {I z
brazed	' b r\ {I z d
brazen	' b r\ {I z n
brazen-faced	' b r\ {I z n - f {I s t
brazened	' b r\ {I z n d
brazening	' b r\ {I z - n I N
brazens	' b r\ {I z n z
brazes	' b r\ {I z - I z
brazier	' b r\ {I z - i@ r\
braziers	' b r\ {I z - i@ z
brazing	' b r\ {I z - I N
breach	' b r\ i: tS
breached	' b r\ i: tS t
breaches	' b r\ i: tS - I z
breaching	' b r\ i: tS - I N
bread	' b r\ e d
breadcrumb	' b r\ e d k - r\ 6 m
breadcrumbs	' b r\ e d k - r\ 6 m z
breadfruit	' b r\ e d f - r\ }: t
breadfruits	' b r\ e d f - r\ }: t s
breadline	' b r\ e d - l Ae n
breadlines	' b r\ e d - l Ae n z
breadstuffs	' b r\ e d s - t 6 f s
breadth	' b r\ e d T
breadths	' b r\ e d T s
breadthways	' b r\ e d T - w {I z
breadthwise	' b r\ e d T - w Ae z
breadwinner	' b r\ e d - w I n - @ r\
breadwinners	' b r\ e d - w I n - @ z
break	' b r\ {I k
break-in	' b r\ {I k - I n
break-ins	' b r\ {I k - I n z
break-up	' b r\ {I k - 6 p
break-ups	' b r\ {I k - 6 p s
breakable	' b r\ {I k - @ b l
breakables	' b r\ {I k - @ b l z
breakage	' b r\ {I k - I dZ
breakages	' b r\ {I k - I dZ - I z
breakaway	' b r\ {I k - @ w - {I
breakaways	' b r\ {I k - @ w - {I z
breakdown	' b r\ {I k - d au n
breakdowns	' b r\ {I k - d au n z
breaker	' b r\ {I k - @ r\
breakers	' b r\ {I k - @ z
breakfast	' b r\ e k - f @ s t
breakfasted	' b r\ e k - f @ s - t I d
breakfasting	' b r\ e k - f @ s - t I N
breakfasts	' b r\ e k - f @ s t s
breaking	' b r\ {I k - I N
breakneck	' b r\ {I k - n e k
breaks	' b r\ {I k s
breakthrough	' b r\ {I k - T r\ }:
breakthroughs	' b r\ {I k - T r\ }: z
breakup	' b r\ {I k - ' 6 p
breakwater	' b r\ {I k - w o: t - @ r\
breakwaters	' b r\ {I k - w o: t - @ z
bream	' b r\ i: m
breast	' b r\ e s t
breast-deep	' b r\ e s t - d i: p
breast-fed	' b r\ e s t - f e d
breast-high	' b r\ e s t - h Ae
breast-plate	' b r\ e s t - p l {I t
breast-plates	' b r\ e s t - p l {I t s
breasted	' b r\ e s - t I d
breastfed	' b r\ e s - t f e d
breastfeed	' b r\ e s - t f i: d
breastfeeding	' b r\ e s - t f i: d - I N
breastfeeds	' b r\ e s - t f i: d z
breasting	' b r\ e s - t I N
breasts	' b r\ e s t s
breaststroke	' b r\ e s - s t r\ @} k
breastwork	' b r\ e s - t w @@ k
breastworks	' b r\ e s - t w @@ k s
breath	' b r\ e T
breathalyser	' b r\ e T - @ l - Ae z - @ r\
breathalysers	' b r\ e T - @ l - Ae z - @ z
breathe	' b r\ i: D
breathed	' b r\ i: D d
breather	' b r\ i: D - @ r\
breathers	' b r\ i: D - @ z
breathes	' b r\ i: D z
breathing	' b r\ i: D - I N
breathing-space	' b r\ i: D - I N - s p {I s
breathing-spaces	' b r\ i: D - I N - s p {I s - I z
breathless	' b r\ e T - l @ s
breathlessly	' b r\ e T - l @ s - l i:
breaths	' b r\ e T s
breathtaking	' b r\ e T - t {I k - I N
bred	' b r\ e d
breech	' b r\ i: tS
breech-block	' b r\ i: tS - b l O k
breech-blocks	' b r\ i: tS - b l O k s
breeches	' b r\ i: tS - I z
breeches-buoy	' b r\ i: tS - I z - ' b oI
breeches-buoys	' b r\ i: tS - I z - ' b oI z
breed	' b r\ i: d
breeder	' b r\ i: d - @ r\
breeders	' b r\ i: d - @ z
breeding	' b r\ i: d - I N
breeds	' b r\ i: d z
breeze	' b r\ i: z
breezed	' b r\ i: z d
breezes	' b r\ i: z - I z
breezier	' b r\ i: z - i@ r\
breeziest	' b r\ i: z - I - I s t
breezily	' b r\ i: z - @ l - i:
breeziness	' b r\ i: z - I n - @ s
breezing	' b r\ i: z - I N
breezy	' b r\ i: z - i:
brethren	' b r\ e D - r\ @ n
breve	' b r\ i: v
breves	' b r\ i: v z
brevet	' b r\ e v - I t
brevets	' b r\ e v - I t s
breviaries	' b r\ i: v - i@ r\ - I z
breviary	' b r\ i: v - i@ r\ - i:
brevity	' b r\ e v - I t - i:
brew	' b r\ }:
brewed	' b r\ }: d
brewer	' b r\ }: - @ r\
breweries	' b r\ u@ r\ - I z
brewers	' b r\ }: - @ z
brewery	' b r\ u@ r\ - i:
brewing	' b r\ }: - I N
brews	' b r\ }: z
briar	' b r\ Ae - @ r\
briars	' b r\ Ae - @ z
bribable	' b r\ Ae b - @ b l
bribe	' b r\ Ae b
bribed	' b r\ Ae b d
bribery	' b r\ Ae b - @ r\ - i:
bribes	' b r\ Ae b z
bribing	' b r\ Ae b - I N
bric-a-brac	' b r\ I k - @ - b r\ { k
brick	' b r\ I k
brick-field	' b r\ I k - f i: l d
brick-fields	' b r\ I k - f i: l d z
brickbat	' b r\ I k - b { t
brickbats	' b r\ I k - b { t s
bricked	' b r\ I k t
bricking	' b r\ I k - I N
brickkiln	' b r\ I k - k I l n
brickkilns	' b r\ I k - k I l n z
bricklayer	' b r\ I k - l {I - @ r\
bricklayers	' b r\ I k - l {I - @ z
bricks	' b r\ I k s
brickwork	' b r\ I k - w @@ k
brickworks	' b r\ I k - w @@ k s
bridal	' b r\ Ae d l
bridals	' b r\ Ae d l z
bride	' b r\ Ae d
bridecake	' b r\ Ae d k - {I k
bridecakes	' b r\ Ae d k - {I k s
bridegroom	' b r\ Ae d - g r\ U m
bridegrooms	' b r\ Ae d - g r\ U m z
brides	' b r\ Ae d z
bridesmaid	' b r\ Ae d - z m {I d
bridesmaids	' b r\ Ae d - z m {I d z
bridge	' b r\ I dZ
bridged	' b r\ I dZ d
bridgehead	' b r\ I dZ h - e d
bridgeheads	' b r\ I dZ h - e d z
bridges	' b r\ I dZ - I z
bridging	' b r\ I dZ - I N
bridle	' b r\ Ae d l
bridle-path	' b r\ Ae d l - p 6: T
bridle-paths	' b r\ Ae d l - p 6: D z
bridle-road	' b r\ Ae d l - r\ @} d
bridle-roads	' b r\ Ae d l - r\ @} d z
bridled	' b r\ Ae d l d
bridles	' b r\ Ae d l z
bridling	' b r\ Ae d - l I N
brief	' b r\ i: f
briefcase	' b r\ i: f - k {I s
briefcases	' b r\ i: f - k {I s - I z
briefed	' b r\ i: f t
briefer	' b r\ i: f - @ r\
briefest	' b r\ i: f - I s t
briefing	' b r\ i: f - I N
briefings	' b r\ i: f - I N z
briefly	' b r\ i: f - l i:
briefs	' b r\ i: f s
brier	' b r\ Ae - @ r\
briers	' b r\ Ae - @ z
brig	' b r\ I g
brigade	' b r\ I g - ' {I d
brigades	' b r\ I g - ' {I d z
brigand	' b r\ I g - @ n d
brigands	' b r\ I g - @ n d z
brigantine	' b r\ I g - @ n t - i: n
brigantines	' b r\ I g - @ n t - i: n z
bright	' b r\ Ae t
brighten	' b r\ Ae t n
brightened	' b r\ Ae t n d
brightening	' b r\ Ae t - n I N
brightens	' b r\ Ae t n z
brighter	' b r\ Ae t - @ r\
brightest	' b r\ Ae t - I s t
brightly	' b r\ Ae t - l i:
brightness	' b r\ Ae t - n @ s
brigs	' b r\ I g z
brill	' b r\ I l
brilliance	' b r\ I l - i@ n s
brilliancy	' b r\ I l - i@ n s - i:
brilliant	' b r\ I l - i@ n t
brilliantine	' b r\ I l - i@ n t - i: n
brilliantly	' b r\ I l - i@ n t - l i:
brim	' b r\ I m
brimful	' b r\ I m f - ' U l
brimfull	' b r\ I m f - ' U l
brimmed	' b r\ I m d
brimming	' b r\ I m - I N
brims	' b r\ I m z
brimstone	' b r\ I m s - t @} n
brindled	' b r\ I n d l d
brine	' b r\ Ae n
brines	' b r\ Ae n z
bring	' b r\ I N
bringing	' b r\ I N - I N
brings	' b r\ I N z
brinier	' b r\ Ae n - i@ r\
briniest	' b r\ Ae n - I - I s t
brink	' b r\ I N k
brinkmanship	' b r\ I N k - m @ n S - I p
brinks	' b r\ I N k s
briny	' b r\ Ae n - i:
brio	' b r\ i: - @}
brioche	' b r\ i: - ' O S
brioches	' b r\ i: - ' O S - I z
briquet	' b r\ I k - ' e t
briquets	' b r\ I k - ' e t s
briquette	' b r\ I k - ' e t
briquettes	' b r\ I k - ' e t s
brisk	' b r\ I s k
brisker	' b r\ I s - k @ r\
briskest	' b r\ I s - k I s t
brisket	' b r\ I s - k I t
briskly	' b r\ I s - k l i:
bristle	' b r\ I s l
bristled	' b r\ I s l d
bristles	' b r\ I s l z
bristlier	' b r\ I s - l i@ r\
bristliest	' b r\ I s - l I - I s t
bristling	' b r\ I s - l I N
bristly	' b r\ I s - l i:
brittle	' b r\ I t l
broach	' b r\ @} tS
broached	' b r\ @} tS t
broaches	' b r\ @} tS - I z
broaching	' b r\ @} tS - I N
broad	' b r\ o: d
broad-minded	' b r\ o: d - ' m Ae n d - I d
broad-mindedness	' b r\ o: d - ' m Ae n d - I d - n I s
broadcast	' b r\ o: d k - 6: s t
broadcasted	' b r\ o: d k - 6: s - t I d
broadcasters	' b r\ o: d k - { s - t @@ s
broadcasting	' b r\ o: d k - 6: s - t I N
broadcasts	' b r\ o: d k - 6: s t s
broadcloth	' b r\ o: d k - l O T
broaden	' b r\ o: d n
broadened	' b r\ o: d n d
broadening	' b r\ o: d - n I N
broadens	' b r\ o: d n z
broader	' b r\ o: d - @ r\
broadest	' b r\ o: d - I s t
broadly	' b r\ o: d - l i:
broadness	' b r\ o: d - n @ s
broads	' b r\ o: d z
broadsheet	' b r\ o: d S - i: t
broadsheets	' b r\ o: d S - i: t s
broadside	' b r\ o: d s - Ae d
broadsides	' b r\ o: d s - Ae d z
broadways	' b r\ o: d - w {I z
broadwise	' b r\ o: d - w Ae z
brocade	' b r\ @ k - ' {I d
brocaded	' b r\ @ k - ' {I d - I d
brocades	' b r\ @ k - ' {I d z
brocading	' b r\ @ k - ' {I d - I N
broccoli	' b r\ O k - @ l - i:
brochure	' b r\ @} S - @ r\
brochures	' b r\ @} S - @ z
brogue	' b r\ @} g
brogues	' b r\ @} g z
broil	' b r\ oI l
broiled	' b r\ oI l d
broiler	' b r\ oI l - @ r\
broilers	' b r\ oI l - @ z
broiling	' b r\ oI l - I N
broils	' b r\ oI l z
broke	' b r\ @} k
broken	' b r\ @} k - @ n
broken-hearted	' b r\ @} k - @ n - ' h 6: t - I d
broker	' b r\ @} k - @ r\
brokerage	' b r\ @} k - @ r\ - I dZ
brokers	' b r\ @} k - @ z
brollies	' b r\ O l - I z
brolly	' b r\ O l - i:
bromide	' b r\ @} m - Ae d
bromides	' b r\ @} m - Ae d z
bromine	' b r\ @} m - i: n
bronchi	' b r\ O N k - Ae
bronchial	' b r\ O N k - i@ l
bronchitic	' b r\ O N k - ' I t - I k
bronchitis	' b r\ O N k - ' Ae t - I s
bronchus	' b r\ O N k - @ s
bronco	' b r\ O N k - @}
broncos	' b r\ O N k - @} z
bronze	' b r\ O n z
bronzed	' b r\ O n z d
bronzes	' b r\ O n z - I z
bronzing	' b r\ O n z - I N
brooch	' b r\ @} tS
brooches	' b r\ @} tS - I z
brood	' b r\ }: d
brood-hen	' b r\ }: d - h e n
brood-hens	' b r\ }: d - h e n z
brood-mare	' b r\ }: d - m e@ r\
brood-mares	' b r\ }: d - m e@ z
brooded	' b r\ }: d - I d
broodier	' b r\ }: d - i@ r\
broodiest	' b r\ }: d - I - I s t
brooding	' b r\ }: d - I N
broods	' b r\ }: d z
broody	' b r\ }: d - i:
brook	' b r\ U k
brooked	' b r\ U k t
brooking	' b r\ U k - I N
brooks	' b r\ U k s
